file_name,homo_n,lumo_n,max_charge_pos_n,max_charge_neg_n,dipole_n,gibbs_n,elec_en_n,homo_spin_up_o,lumo_spin_up_o,homo_spin_down_o,lumo_spin_down_o,max_charge_pos_o,max_charge_neg_o,max_spin_o,dipole_o,gibbs_o,elec_en_o,homo_spin_up_r,lumo_spin_up_r,homo_spin_down_r,lumo_spin_down_r,max_charge_pos_r,max_charge_neg_r,max_spin_r,dipole_r,gibbs_r,elec_en_r,ion_pot,elec_aff,selfies,smiles
171,,,,,,,,-0.309693,-0.191639,-0.308114,-0.307995,0.355554,-0.531474,0.578617,5.16077,-4114.93929614,-4115.551368226944,,,,,,,,,,,,,[C][C][C][C][C][C][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][Branch2][Ring1][C][C][=Branch1][C][=O][O][C][C][N+1][Branch1][C][C][Branch1][Ring1][C][C][C][C][C][=C][Ring1][P].[Br-1],CCCCCCCCOC1=CC=CC=C1C(=O)NC2=CC=C(C(=O)OCC[N+1](C)(CC)CC)C=C2.[Br-1]
175,,,,,,,,-0.301834,-0.200463,-0.300414,-0.292135,0.373525,-0.667875,0.53987,5.36553,-3892.25975442,-3892.591174493225,,,,,,,,,,,,,[C][N+1][Branch1][C][C][C][C][C][=C][C][=C][Branch2][Ring1][=N][C][=C][Ring1][=Branch1][C@H1][Ring1][O][C@@H1][O][C][=Branch1][C][=O][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch1][O][C][O][Ring1][Branch1][O][C][O][Ring2][Ring1][Branch1].[Br-1],C[N+1]1(C)CCC2=CC3=C(C=C2[C@H1]1[C@@H1]4OC(=O)C5=C4C=CC6=C5OCO6)OCO3.[Br-1]
176,,,,,,,,-0.31531,-0.158335,-0.316968,-0.288712,0.380778,-0.558306,0.607364,11.395,-3629.97866969,-3630.329795323669,,,,,,,,,,,,,[C][N+1][Branch1][C][C][C@@H1][C][C@@H1][Branch2][Ring1][Ring1][O][C][=Branch1][C][=O][C@H1][Branch1][Ring1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Ring2][Ring1][Ring1][C@@H1][O][C@@H1][Ring1][Ring1][Ring2][Ring1][Ring2].[Br-1],C[N+1]1(C)[C@@H1]2C[C@@H1](OC(=O)[C@H1](CO)C3=CC=CC=C3)C[C@H1]1[C@@H1]4O[C@@H1]42.[Br-1]
178,,,,,,,,-0.334406,-0.138083,-0.331345,-0.301622,0.3841,-0.559497,0.674172,13.44385,-3446.31543899,-3446.737220063273,,,,,,,,,,,,,[C][C][C][C][Branch1][Ring2][C][C][C][C][=Branch1][C][=O][O][C@H1][C][C@H1][C][C][C@@H1][Branch1][Ring2][C][Ring1][#Branch1][N+1][Ring1][=Branch1][Branch1][C][C][C].[Br-1],CCCC(CCC)C(=O)O[C@H1]1C[C@H1]2CC[C@@H1](C1)[N+1]2(C)C.[Br-1]
182,,,,,,,,-0.272935,-0.227321,-0.272932,-0.24224,0.264693,-0.603623,0.962889,6.97221,-3676.67419261,-3677.219539463553,,,,,,,,,,,,,[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][N+1][C][=C][N][Branch1][Branch2][C][C@@H1][Branch1][C][C][N][=O][C][=Ring1][#Branch2].[Br-1],CCCCCCCCCCCCCCCC[N+1]=1C=CN(C[C@@H1](C)N=O)C=1.[Br-1]
188,,,,,,,,-0.377829,-0.283393,-0.38635,-0.357569,0.405245,-0.562028,0.321124,4.72363,-3109.86635357,-3110.031209978672,,,,,,,,,,,,,[C][C][C][N+1][=C][C][=C][C][Branch1][=Branch1][C][Branch1][C][N][=O][=C][Ring1][=Branch2].[Br-1],CCC[N+1]1=CC=CC(C(N)=O)=C1.[Br-1]
189,,,,,,,,-0.385885,-0.269807,-0.374811,-0.360413,0.385029,-0.600692,0.698437,4.82837,-3149.2080888,-3149.405841047645,,,,,,,,,,,,,[C][C][C][C][N+1][=C][C][=C][C][Branch1][=Branch1][C][Branch1][C][N][=O][=C][Ring1][=Branch2].[Br-1],CCCC[N+1]1=CC=CC(C(N)=O)=C1.[Br-1]
190,,,,,,,,-0.342239,-0.222567,-0.343365,-0.316777,0.37734,-0.620943,0.334848,9.54732,-3463.33437703,-3463.747034689889,,,,,,,,,,,,,[C][C][C][C][C][C][C][C][C][C][C][C][N+1][=C][C][=C][C][Branch1][=Branch1][C][Branch1][C][N][=O][=C][Ring1][=Branch2].[Br-1],CCCCCCCCCCCC[N+1]1=CC=CC(C(N)=O)=C1.[Br-1]
191,,,,,,,,-0.330501,-0.247914,-0.33031,-0.303846,0.28648,-0.531786,0.585724,12.93388,-3502.6186235,-3503.053547972389,,,,,,,,,,,,,[C][C][C][C][C][C][C][C][C][C][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][N+1][Branch1][C][C][=C][Ring1][#Branch1].[Br-1],CCCCCCCCCCCCNC(=O)C1=CC=C[N+1](C)=C1.[Br-1]
192,,,,,,,,-0.326474,-0.186255,-0.358916,-0.297875,0.309381,-0.496312,0.351494,5.46671,-3133.30626995,-3133.53050897706,,,,,,,,,,,,,[C][O][C][=Branch1][C][=O][C@@H1][C][C][C][N+1][Branch1][C][C][Branch1][C][C][C][Ring1][Branch2].[Br-1],COC(=O)[C@@H1]1CCC[N+1](C)(C)C1.[Br-1]
194,,,,,,,,-0.325065,-0.203479,-0.347944,-0.304922,0.466904,-0.567961,0.268844,8.26148,-3541.84023334,-3542.303770197563,,,,,,,,,,,,,[C][C][C][C][C][C][C][C][C][C][C][C][C][C][N+1][=C][C][=C][Branch1][=Branch1][C][Branch1][C][N][=O][C][=C][Ring1][=Branch2].[Br-1],CCCCCCCCCCCCCC[N+1]1=CC=C(C(N)=O)C=C1.[Br-1]
195,,,,,,,,-0.341626,-0.25081,-0.341618,-0.316099,0.374867,-0.598521,0.673833,3.58675,-3620.42088837,-3620.940332438046,,,,,,,,,,,,,[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][N+1][=C][C][=C][Branch1][=Branch1][C][Branch1][C][N][=O][C][=C][Ring1][=Branch2].[Br-1],CCCCCCCCCCCCCCCC[N+1]1=CC=C(C(N)=O)C=C1.[Br-1]
196,,,,,,,,-0.382455,-0.260066,-0.367239,-0.34679,0.480848,-0.623833,0.802313,6.47958,-3129.80739801,-3129.964010304237,,,,,,,,,,,,,[C][O][C][=Branch1][C][=O][C][N+1][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1].[Br-1],COC(=O)C[N+1]1=CC=C(C)C=C1.[Br-1]
198,,,,,,,,-0.347542,-0.261458,-0.339567,-0.337962,0.493906,-0.514447,0.723425,6.77557,-3376.71361426,-3376.934169844913,,,,,,,,,,,,,[C][C][O][C][=Branch1][C][=O][C][N+1][=C][C][=C][Branch1][=Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][Ring1][N].[Br-1],CCOC(=O)C[N+1]1=CC=C(C2=CC=NC=C2)C=C1.[Br-1]
199,,,,,,,,-0.328388,-0.266378,-0.327267,-0.311622,0.259086,-0.544033,0.628892,6.36094,-3581.05376486,-3581.543611578181,,,,,,,,,,,,,[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][N+1][=C][C][=C][Branch1][Ring2][C][N][=O][C][=C][Ring1][=Branch2].[Br-1],CCCCCCCCCCCCCCC[N+1]1=CC=C(CN=O)C=C1.[Br-1]
200,,,,,,,,-0.327036,-0.17696,-0.326735,-0.299613,0.264359,-0.55957,0.620821,9.71222,-3521.29795234,-3521.710455393082,,,,,,,,,,,,,[C][C][C@H1][Branch1][C][C][C@@H1][Branch2][Ring1][Ring2][C][=Branch1][C][=O][O][C][C][C][N+1][Branch1][C][C][Branch1][C][C][C][C][Ring1][Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1].[Br-1],CC[C@H1](C)[C@@H1](C(=O)OC1CC[N+1](C)(C)CC1)C2=CC=CC=C2.[Br-1]
201,,,,,,,,-0.342136,-0.248761,-0.342145,-0.308915,0.24508,-0.514493,0.643852,10.69985,-3294.74277013,-3295.129623604429,,,,,,,,,,,,,[C][C][C][C][C][C][C][C][C][C][C][C][N+1][=C][C][=C][C][=C][Ring1][=Branch1].[Br-1],CCCCCCCCCCCC[N+1]1=CC=CC=C1.[Br-1]
205,,,,,,,,-0.347056,-0.23894,-0.342336,-0.315592,0.384323,-0.612424,0.677737,7.30178,-3262.27208257,-3262.465232698869,,,,,,,,,,,,,[N][C][=C][C][=C][C][=N+1][Ring1][=Branch1][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1].[Br-1],NC1=CC=CC=[N+1]1CC(=O)C2=CC=CC=C2.[Br-1]
213,,,,,,,,-0.281518,-0.217958,-0.27978,-0.266364,0.37255,-0.572229,0.408338,5.23673,-3740.38825056,-3740.731781697517,,,,,,,,,,,,,[C][C][C][N][C][Branch1][C][N][=N+1][Branch2][Ring1][=Branch1][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Ring1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring1][#Branch1].[Br-1],CCCN1C(N)=[N+1](CC(=O)C2=CC=C(OC)C(OC)=C2)C3=CC=CC=C31.[Br-1]
214,,,,,,,,-0.291562,-0.197243,-0.289267,-0.282779,0.36731,-0.547032,0.344117,7.73538,-3987.57442165,-3988.013939977425,,,,,,,,,,,,,[C][O][C][=C][C][=C][Branch2][Ring2][Ring1][C][=Branch1][C][=O][C][N+1][=C][Branch1][C][N][N][Branch1][O][C][C][N][C][C][O][C][C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring1][C][C][=C][Ring2][Ring1][O][O][C].[Br-1],COC1=CC=C(C(=O)C[N+1]2=C(N)N(CCN3CCOCC3)C4=CC=CC=C42)C=C1OC.[Br-1]
215,,,,,,,,-0.311443,-0.246932,-0.315918,-0.286358,0.348603,-0.663761,0.592333,8.75583,-3514.20254966,-3514.477631208242,,,,,,,,,,,,,[C][O][C][=C][C][=C][C][Branch2][Ring1][#Branch1][C][=Branch1][C][=O][C][N+1][=C][C][=C][C][=C][C][Branch1][C][C][=C][C][=C][Ring1][#Branch1][Ring1][O][=C][Ring2][Ring1][Ring2].[Br-1],COC1=CC=CC(C(=O)C[N+1]2=CC=CC3=CC(C)=CC=C32)=C1.[Br-1]
216,,,,,,,,-0.305003,-0.237267,-0.305293,-0.282393,0.308304,-0.629494,0.560893,6.08589,-3703.82546189,-3704.134354234845,,,,,,,,,,,,,[C][O][C][=C][C][=C][C][Branch2][Ring1][N][C][=C][C][=N+1][Ring1][=Branch1][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Ring1][#Branch2][=C][Ring2][Ring1][#Branch1].[Br-1],COC1=CC=C2C(C=CC=[N+1]2CC(=O)C3=CC=C(OC)C(OC)=C3)=C1.[Br-1]
217,,,,,,,,-0.344176,-0.243621,-0.339793,-0.313212,0.286699,-0.483608,0.6707,6.60415,-3323.56419828,-3323.802266421738,,,,,,,,,,,,,[O][=C][Branch1][#C][C][N+1][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][Ring1][Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1].[Br-1],O=C(C[N+1]1=CC=CC2=C1CCC2)C3=CC=CC=C3.[Br-1]
221,,,,,,,,-0.360486,-0.261718,-0.358479,-0.354838,0.384065,-0.639691,0.650251,3.91153,-3262.26913489,-3262.460694028912,,,,,,,,,,,,,[N][C][=Branch1][C][=O][C][=C][C][=C][N+1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][=N].[Br-1],NC(=O)C1=CC=C[N+1](CC2=CC=CC=C2)=C1.[Br-1]
223,,,,,,,,-0.338784,-0.242046,-0.330035,-0.324564,0.562032,-0.625048,0.455888,6.05507,-3415.80909953,-3416.044077323512,,,,,,,,,,,,,[O][=C][Branch1][S][C][N+1][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1].[Br-1],O=C(C[N+1]1=CC=C2C=CC=CC2=C1)NC3=CC=CC=C3.[Br-1]
224,,,,,,,,-0.332012,-0.225616,-0.332711,-0.282293,0.415709,-0.588888,0.987363,3.49118,-3402.1780888,-3402.473516901584,,,,,,,,,,,,,[C][C][O][C][=Branch1][C][=O][C][=C][C][N@@+1][Branch1][C][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][=C].[Br-1],CCOC(=O)C1=CC[N@@+1](C)(CC2=CC=CC=C2)CC1.[Br-1]
226,,,,,,,,-0.345789,-0.240659,-0.33868,-0.313966,0.269703,-0.561467,0.685984,4.41266,-3364.0168815,-3364.301016496569,,,,,,,,,,,,,[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=N+1][Branch1][=C][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][#C].[Br-1],CC(C)(C)C1=CC=[N+1](CC(=O)C2=CC=CC=C2)C=C1.[Br-1]
228,,,,,,,,-0.344456,-0.233579,-0.344368,-0.326898,0.387721,-0.628578,0.720053,7.7969,-3148.99979259,-3149.184439604624,,,,,,,,,,,,,[N][C][=C][C][=N+1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][=N].[Br-1],NC1=CC=[N+1](CC2=CC=CC=C2)C=C1.[Br-1]
229,,,,,,,,-0.319385,-0.245486,-0.325846,-0.296257,0.284433,-0.593959,0.559309,6.21925,-3321.39570373,-3321.602353188304,,,,,,,,,,,,,[C][O][C][=C][C][=C][C][Branch1][=C][C][=Branch1][C][=O][C][N+1][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][#C].[Br-1],COC1=CC=CC(C(=O)C[N+1]2=CC=CC=C2)=C1.[Br-1]
230,,,,,,,,-0.354999,-0.255557,-0.353362,-0.342948,0.294876,-0.64188,0.827199,6.51903,-3360.67762451,-3360.911537665402,,,,,,,,,,,,,[C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][N+1][=C][C][=C][C][=C][Ring1][=Branch1].[Br-1],CCOC(=O)C1=CC=CC=C1C[N+1]2=CC=CC=C2.[Br-1]
232,,,,,,,,-0.315827,-0.241298,-0.319479,-0.291012,0.331324,-0.660668,0.580324,5.19171,-3607.58961498,-3607.881996265734,,,,,,,,,,,,,[C][O][C][=C][C][=C][C][Branch2][Ring1][O][C][=Branch1][C][=O][C][N+1][=C][C][=C][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][N][=C][Ring1][=N][=C][Ring2][Ring1][=Branch1].[Br-1],COC1=CC=CC(C(=O)C[N+1]2=CC=C(C3=CC=C(C)C=C3)N=C2)=C1.[Br-1]
233,,,,,,,,-0.35947,-0.292395,-0.359264,-0.334296,0.344366,-0.472852,0.699276,12.88671,-3427.36568362,-3427.528640828426,,,,,,,,,,,,,[O][=C][Branch1][#Branch2][C][N+1][=C][C][=C][C][=N][Ring1][=Branch1][C][=C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2].[Br-1],O=C(C[N+1]1=CC=CC=N1)C2=CC=C([N+1](=O)[O-1])C=C2.[Br-1]
